aardwolf: {{en-noun|aardwolves|aardwolfs}}
feedlot: {{en-noun}}
feedstock: {{en-noun|~}}
feedstuff: {{en-noun|~}}
feeing: {{en-noun|-}}
feel: {{en-adj|-}}
feel: {{en-adv|-}}
feel: {{en-conj|old=1|past=felt|past_2sg_old2=feltest}}
feel: {{en-noun}}
feel: {{en-pron}}
feel: {{en-verb|feels|feeling|felt}}
