blastemata blastema
blastulae blastula
blatted blat
blatting blat
bled bleed
blest bless
blew blow
blew_one's_nose blow_one's_nose
blindfishes blindfish
blipped blip
blipping blip
blobbed blob
blobbing blob
bloodied bloody
blotted blot
blotting blot
blowfishes blowfish
blowing_one's_nose blow_one's_nose
blown blow
blows_one's_nose blow_one's_nose
blubbed blub
blubbing blub
blue-pencilled blue-pencil
blue-pencilling blue-pencil
bluefishes bluefish
blurred blur
blurring blur
boarfishes boarfish
bobbed bob
bobbing bob
bodied body
bogged_down bog_down
bogged-down bog-down
bogging_down bog_down
bogging-down bog-down
bogs_down bog_down
bogs-down bog-down
bok boschbok
boleti boletus
bolivares bolivar
bolsheviki bolshevik
bonefishes bonefish
bongoes bongo
bonitoes bonito
booby-trapped booby-trap
booby-trapping booby-trap
booklice booklouse
bookshelves bookshelf
bootlegged bootleg
bootlegging bootleg
bopped bop
bopping bop
boraces borax
borborygmi borborygmus
bordereaux bordereau
bore bear
born bear
borne bear
botargoes botargo
bottle-fed bottle-feed
bought buy
bound bind
box-kodaks box_kodak
boxfishes boxfish
brachia brachium
bragged brag
bragging brag
brainchildren brainchild
branchiae branchia
brants brant brent
bravadoes bravado
bravoes bravo
breast-fed breast-feed
bred breed
bregmata bregma
brethren brother
brevetted brevet
brevetting brevet
brimmed brim
brimming brim
broadcast_media broadcast_medium
broadleaves broadleaf
broke break
broken break
bronchi bronchus
brothers-in-law brother-in-law
brought bring
browbeaten browbeat
brutified brutify
bryozoa bryozoan
buboes bubo
buckoes bucko
buckteeth bucktooth
budded bud
budding bud
buffaloes buffalo
bugged bug
bugging bug
built build
bullae bulla
bulldogging bulldog
bullied bully
bullshitted bullshit
bullshitting bullshit
bullwhipped bullwhip
bullwhipping bullwhip
bullyragged bullyrag
bullyragging bullyrag
bummed bum
bumming bum
bunde bund
bureaux bureau
bureaux_de_change bureau_de_change
buried bury
burnt burn
burred bur
burring bur
bursae bursa
bushbok boschbok
bushboks boschbok
bushelled bushel
bushelling bushel
busied busy
busses bus
butterfishes butterfish
bypast bypass
byssi byssus
caballed cabal
caballing cabal
cacti cactus
caddied caddie caddy
caddies caddie caddy
caddying caddie caddy
caducei caduceus
caeca caecum
caesurae caesura
calami calamus
calathi calathus
calcanei calcaneum calcaneus
calces calx
calcified calcify
calculi calculus
caldaria caldarium
calices calix
calicoes calico
calli callus
calves calf
calyces calyx
cambia cambium
came come
camerae camera
canaliculi canaliculus
canalled canal
canalling canal
cancelled cancel
cancelling cancel
candelabra candelabrum
candied candy
candlefishes candlefish
canned can
canning can
canopied canopy
canthi canthus
canulae canula
canzoni canzone
capita caput
capitula capitulum
capped cap
capping cap
capricci capriccio
carabinieri carabiniere
carbonadoes carbonado
carburetted carburet
carburetting carburet
carcinomata carcinoma
cargoes cargo
carides caryatid
carillonned carillon
carillonning carillon
carinae carina
carnied carny
carnified carnify
caroli carolus
carolled carol
carolling carol
carpi carpus
carpogonia carpogonium
carried carry
carryings-on carrying-on
caryopses caryopsis
caryopsides caryopsis
casefied casefy
castrati castrato
catabases catabasis
cataclases cataclasis
cataloes catalo
catalyses catalysis
catenae catena
catfishes catfish
cathari cathar
cathexes cathexis
catnapped catnap
catnapping catnap
cattaloes cattalo
catted cat
catting cat
caudices caudex
caught catch
caules caulis
cavatine cavatina
cavefishes cavefish
cavetti cavetto
cavilled cavil
cavilling cavil
cavo-rilievi cavo-rilievo
ceca cecum
cellae cella
cembali cembalo
centesimi centesimo
centra centrum
cephalothoraces cephalothorax
cercariae cercaria
cercariiae cercaria
cerci cercus
cerebella cerebellum
cerebra cerebrum
certified certify
cervices cervix
cestuses caestus
cesurae cesura
chadarim cheder
chaetae chaeta
chaises_longues chaise_longue
chalazae chalaza
challoth hallah
chalutzim chalutz
channelled channel
channelling channel
chapaties chapati
chapatties chapatti
chapeaux chapeau
chapped chap
chapping chap
charred char
charring char
chasidim chasid
chassidim chassid
chateaux chateau
chatted chat
chatting chat
chazanim chazan
chedarim cheder
chefs-d'ouvre chef-d'ouvre
chelae chela
chelicerae chelicera
cherubim cherub
chevaux-de-frise cheval-de-frise
chevied chivy
chevies chivy
chevying chivy
chiasmata chiasma
chiasmi chiasmus
chid chide
chidden chide
children child
chillies chilli
chinese_eddoes chinese_eddo
chinned chin
chinning chin
chipped chip
chipping chip
chiselled chisel
chiselling chisel
chitarroni chitarrone
chitchatted chitchat
chitchatting chitchat
chivied chivy
chivved chiv
chivvied chivy
chivvies chivy
chivving chiv
chivvying chivy
chlamydes chlamys
chlamyses chlamys
chondrified chondrify
chondromata chondroma
chopped chop
chopping chop
choragi choragus
choriambi choriambus
chose choose
chosen choose
choux chou
chromonemata chromonema
chrysalides chrysalis
chugged chug
chugging chug
chummed chum
chumming chum
chuvashes chuvash
ciboria ciborium
cicadae cicada
cicale cicala
cicatrices cicatrix
ciceroni cicerone
cicisbei cicisbeo
cilia cilium
cimices cimex
cineraria cinerarium
cingula cingulum
cirri cirrus
cirrocumuli cirrocumulus
cirrostrati cirrostratus
ciscoes cisco
cisternae cisterna
citified citify
clad clothe
cladding clad
clammed clam
clamming clam
clani clarino
clanos clarino
clapped clap
clapping clap
clarified clarify
claroes claro
classified classify
cleft cleave
clemmed clem
clemming clem
clepsydrae clepsydra
clept clepe
clinandria clinandrium
clingfishes clingfish
clipped clip
clipping clip
clitella clitellum
cloacae cloaca
clogged clog
clogging clog
clopped clop
clopping clop
clostridia clostridium
clotted clot
clotting clot
clove cleave
cloven cleave
cloverleaves cloverleaf
clubbed club
clubbing club
clung cling
clypei clypeus
co-opted coopt
co-opting coopt
co-opts coopts
co-ordinate coordinate
co-ordinated coordinate
co-ordinates coordinate
co-ordinating coordinate
co-starred co-star
co-starring co-star
coagula coagulum
coalfishes coalfish
cocci coccus
coccyges coccyx
cochleae cochlea
